text,label
Your KYC will expire today. Send your OTP immediately to avoid account blocking.,SCAM
Police department has issued an arrest warrant against you. Pay Rs 5000 fine now to clear your name.,SCAM
Your electricity connection will be disconnected tonight at 9:30 PM due to unpaid bill. Call helpline now.,SCAM
Congratulations! You have won a lottery prize of Rs 10 lakh. Share bank account details to claim.,SCAM
URGENT: Your SBI bank account is suspended. Click link http://sbi-update-kyc.com to verify PAN.,SCAM
"Dear customer, your SIM card will be deactivated within 24 hours. Update KYC by calling 9876543210.",SCAM
"You have received a loan approval of Rs 5,00,000. Pay processing fee of Rs 1,499 immediately.",SCAM
CBI Notice: Digital arrest order issued under Cyber Crime department. Connect on Skype video immediately.,SCAM
"Your parcel is held at customs due to illegal items. Pay clearance duty Rs 2,500 immediately.",SCAM
"Work from home offer! Earn Rs 3,000 per day by liking YouTube videos. Contact HR on WhatsApp.",SCAM
"Your HDFC credit card reward points worth Rs 4,850 expire today. Redeem now at http://hdfc-rewards-claim.in",SCAM
"Income tax refund of Rs 15,400 approved. Update bank account details at http://itr-refund-gov.in",SCAM
Your electricity power supply will be cut off by 10 PM. Contact Electricity Officer 9123456789,SCAM
TRAI Notice: Your mobile number will be blocked in 2 hours due to illegal activities.,SCAM
Your Amazon account has been compromised. Share OTP 482910 with customer service executive.,SCAM
Pay TM KYC incomplete! Your wallet is blocked. Send OTP 938210 to unblock wallet immediately.,SCAM
"Court summons issued against your name. Pay online fine Rs 10,000 to drop legal charges.",SCAM
"Dear user, your Netflix subscription expired. Update credit card CVV at http://netflix-renew-sub.net",SCAM
"You have a pending refund of Rs 2,400 from Google Pay. Click link to receive money in your UPI.",SCAM
Urgent: Your Axis bank netbanking locked. Verify Aadhaar number and OTP to restore access.,SCAM
Speed Post parcel failed to deliver due to incorrect address. Pay Rs 25 re-delivery fee now.,SCAM
"Dear customer, your electricity bill of Rs 3,450 is unpaid. Power cut will happen in 30 mins.",SCAM
Cyber Cell Warning: Your IP address involved in illegal content. Pay settlement fee immediately.,SCAM
Part-time job opportunity! Earn 5000 daily. Deposit security money Rs 500 to start work.,SCAM
Your credit card is blocked for security reasons. Provide card number and CVV to unblock.,SCAM
URGENT: Submit your OTP 592810 to avoid permanent deactivation of your bank services.,SCAM
"Your LIC policy matured! Claim Rs 3,50,000 bonus by paying processing charge Rs 2,000.",SCAM
"Customs department seized parcel with foreign currency. Pay clearance charge Rs 12,000 now.",SCAM
Your PAN card is not linked with bank account. Account frozen. Click http://link-pan-bank.com,SCAM
Congratulations! Selected for iPhone 15 Pro giveaway. Pay shipping charge Rs 99 to claim.,SCAM
Your electricity connection cut off notice issued. Call power office hotline 9811223344,SCAM
Police summons: You are summoned for cyber crime investigation. Contact Inspector immediately.,SCAM
Your FASTag account is blacklisted. Re-charge now at http://fastag-recharge-update.org,SCAM
"Bank alert: Suspicious transaction of Rs 49,999 detected. Share OTP to cancel transaction.",SCAM
"Dear subscriber, update your mobile KYC immediately by sending your Aadhaar number and OTP.",SCAM
Your Gas connection will be disconnected today. Pay bill immediately at http://gas-bill-pay.com,SCAM
"Selected for Work From Home online task. Earn Rs 50,000 monthly. Transfer registration fee.",SCAM
Your Telegram account disabled. Verify security code 918230 to restore your account.,SCAM
"Dear customer, your ATM card expires today. Call helpline and disclose 16-digit card number.",SCAM
"Income Tax Notice: Tax evasion case registered. Pay penalty Rs 25,000 to avoid arrest.",SCAM
Your electricity bill of Rs 540 is due tomorrow.,SAFE
